53,114,passes
87,117,passes
83,121,passes
82,122,passes
94,116,passes
95,78,passes
55,129,passes
59,92,passes
94,87,passes
79,85,passes
67,99,passes
54,100,passes
72,124,passes
50,84,passes
16,85,fails
49,105,fails
41,107,fails
56,123,passes
50,105,passes
23,85,fails
81,105,passes
7,103,fails
9,112,fails
70,85,passes
54,108,passes
6,83,fails
6,80,fails
87,116,passes
93,130,passes
33,116,fails
41,78,fails
12,120,passes
63,92,passes
31,123,passes
16,104,fails
28,106,fails
63,92,passes
16,91,fails
16,99,fails
54,115,passes
97,92,passes
22,127,passes
81,116,passes
60,114,passes
89,126,passes
6,97,fails
10,94,fails
3,101,fails
16,87,fails
65,84,passes
18,105,fails
84,108,passes
9,129,passes
34,80,fails
77,88,passes
0,113,fails
79,77,passes
18,86,fails
62,100,passes
43,90,fails
78,72,passes
99,80,passes
25,100,fails
65,123,passes
42,116,fails
79,126,passes
65,97,passes
70,73,passes
79,115,passes
2,93,fails
57,76,passes
99,112,passes
5,79,fails
32,114,fails
13,81,fails
13,85,fails
11,104,fails
16,113,fails
44,95,fails
49,111,fails
64,84,passes
30,89,fails
88,98,passes
57,71,passes
86,71,passes
27,116,fails
60,83,passes
40,124,passes
81,90,passes
18,109,fails
37,101,fails
88,124,passes
7,129,passes
35,99,fails
68,75,passes
40,112,fails
56,82,passes
80,127,passes
65,95,passes
50,103,passes
3,129,passes
91,100,passes
56,119,passes
82,100,passes
20,120,passes
1,97,fails
0,97,fails
77,111,passes
25,96,fails
99,93,passes
34,83,fails
45,83,fails
6,123,passes
57,101,passes
84,114,passes
79,118,passes
41,114,fails
65,97,passes
91,78,passes
67,91,passes
16,100,fails
66,83,passes
23,102,fails
34,102,fails
43,117,fails
32,94,fails
65,124,passes
0,85,fails
0,82,fails
88,94,passes
32,70,fails
69,111,passes
6,95,fails
98,115,passes
61,95,passes
97,99,passes
60,90,passes
45,82,fails
82,84,passes
3,88,fails
27,72,fails
17,78,fails
32,101,fails
92,91,passes
34,106,fails
12,124,passes
1,75,fails
20,85,fails
60,121,passes
38,100,fails
88,124,passes
84,106,passes
5,120,passes
26,119,fails
65,77,passes
32,128,passes
24,106,fails
47,92,fails
57,119,passes
31,116,fails
98,83,passes
61,107,passes
57,87,passes
87,129,passes
15,95,fails
75,74,passes
60,89,passes
49,90,fails
60,89,passes
13,113,fails
8,79,fails
2,113,fails
100,108,passes
99,72,passes
63,111,passes
97,103,passes
60,102,passes
58,130,passes
23,108,fails
1,83,fails
58,127,passes
42,92,fails
57,107,passes
53,98,passes
74,86,passes
84,113,passes
15,103,fails
9,112,fails
25,122,passes
100,81,passes
74,123,passes
66,119,passes
79,89,passes
88,71,passes
70,95,passes
30,120,passes
15,86,fails
78,102,passes
81,97,passes
56,108,passes
4,88,fails
96,118,passes
12,129,passes
42,115,fails
20,95,fails
54,99,passes
89,76,passes
89,83,passes
70,130,passes
36,80,fails
30,84,fails
0,75,fails
14,125,passes
82,98,passes
34,110,fails
29,81,fails
79,81,passes
79,110,passes
37,88,fails
91,114,passes
85,120,passes
92,89,passes
79,112,passes
69,82,passes
97,112,passes
50,88,passes
57,125,passes
59,103,passes
95,101,passes
72,119,passes
55,74,passes
37,115,fails
5,82,fails
76,118,passes
17,74,fails
98,111,passes
73,111,passes
73,123,passes
93,81,passes
11,110,fails
67,114,passes
50,84,passes
97,73,passes
44,91,fails
16,83,fails
54,107,passes
75,112,passes
92,128,passes
72,110,passes
65,96,passes
72,103,passes
16,94,fails
51,90,passes
5,119,fails
90,80,passes
53,94,passes
3,118,fails
0,73,fails
0,94,fails
63,96,passes
3,105,fails
79,113,passes
10,118,fails
68,126,passes
45,126,passes
78,73,passes
27,121,passes
69,99,passes
88,94,passes
6,115,fails
88,70,passes
56,119,passes
92,122,passes
20,95,fails
32,71,fails
30,107,fails
64,116,passes
21,82,fails
18,110,fails
63,115,passes
59,113,passes
63,127,passes
37,76,fails
16,103,fails
41,121,passes
51,130,passes
80,121,passes
99,114,passes
26,129,passes
63,77,passes
83,83,passes
26,88,fails
20,103,fails
67,70,passes
78,120,passes
69,82,passes
39,120,passes
58,97,passes
44,94,fails
10,78,fails
89,113,passes
48,97,fails
53,114,passes
25,88,fails
15,82,fails
86,125,passes
32,104,fails
22,116,fails
95,110,passes
14,83,fails
1,81,fails
33,117,fails
20,111,fails
83,120,passes
24,84,fails
50,97,passes
70,100,passes
18,115,fails
72,103,passes
61,94,passes
23,112,fails
